barcode,product_name,categories,ingredients_text,energy_kcal_100g,fat_100g,sugars_100g,proteins_100g,salt_100g,allergens
8901000000472,Food Product 472,Dairy,"Oats, Honey, Almonds",546,17.55,19.01,12.4,0.71,nuts
8901000000473,Food Product 473,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",289,0.13,16.36,0.46,3.39,none
8901000000474,Food Product 474,Beverages,"Milk, Cocoa, Sugar",74,13.96,25.83,0.51,4.97,milk
8901000000475,Food Product 475,Beverages,"Water, Fruit Concentrate, Sugar",282,0.86,10.09,12.03,4.27,nuts
8901000000476,Food Product 476,Cereals,"Rice, Spices, Vegetable Oil",407,25.35,31.5,12.67,4.61,nuts
8901000000477,Food Product 477,Cereals,"Milk, Cocoa, Sugar",334,22.26,23.45,18.33,0.33,none
8901000000478,Food Product 478,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",458,12.94,28.8,12.91,1.37,none
8901000000479,Food Product 479,Snacks,"Rice, Spices, Vegetable Oil",84,21.89,31.88,7.41,0.38,nuts
8901000000480,Food Product 480,Dairy,"Oats, Honey, Almonds",304,3.87,3.57,5.26,2.47,nuts
8901000000481,Food Product 481,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",237,18.64,18.46,17.28,1.95,milk
8901000000482,Food Product 482,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",513,20.71,38.09,18.92,0.11,nuts
8901000000483,Food Product 483,Cereals,"Milk, Cocoa, Sugar",233,25.73,23.95,22.86,4.44,none
8901000000484,Food Product 484,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",95,26.82,31.41,14.72,2.09,gluten
8901000000485,Food Product 485,Frozen Foods,"Oats, Honey, Almonds",256,16.24,22.11,23.94,1.4,gluten
8901000000486,Food Product 486,Beverages,"Milk, Cocoa, Sugar",228,21.48,11.4,24.77,1.8,nuts
8901000000487,Food Product 487,Beverages,"Water, Fruit Concentrate, Sugar",164,20.74,27.68,14.71,0.89,none
8901000000488,Food Product 488,Dairy,"Water, Fruit Concentrate, Sugar",255,19.05,22.42,8.2,1.25,milk
8901000000489,Food Product 489,Beverages,"Rice, Spices, Vegetable Oil",78,23.65,3.99,9.42,4.92,gluten
8901000000490,Food Product 490,Frozen Foods,"Milk, Cocoa, Sugar",381,3.44,29.2,4.8,2.94,none
8901000000491,Food Product 491,Dairy,"Rice, Spices, Vegetable Oil",57,26.54,0.57,3.2,1.93,nuts
8901000000492,Food Product 492,Beverages,"Milk, Cocoa, Sugar",270,4.13,25.31,12.72,3.88,milk
8901000000493,Food Product 493,Frozen Foods,"Milk, Cocoa, Sugar",493,15.37,39.2,6.94,3.24,milk
8901000000494,Food Product 494,Dairy,"Rice, Spices, Vegetable Oil",205,9.86,19.04,5.72,2.1,nuts
8901000000495,Food Product 495,Dairy,"Milk, Cocoa, Sugar",393,0.47,16.72,3.81,0.26,nuts
8901000000496,Food Product 496,Frozen Foods,"Oats, Honey, Almonds",203,2.56,7.07,4.06,2.78,gluten
8901000000497,Food Product 497,Snacks,"Milk, Cocoa, Sugar",289,4.32,20.56,3.88,1.98,nuts
8901000000498,Food Product 498,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",329,29.59,26.75,12.63,4.47,gluten
8901000000499,Food Product 499,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",529,13.71,20.82,22.08,0.76,nuts
8901000000500,Food Product 500,Dairy,"Milk, Cocoa, Sugar",106,11.99,32.0,21.86,1.23,none
8901000000501,Food Product 501,Beverages,"Milk, Cocoa, Sugar",289,15.86,12.46,7.08,3.73,milk
8901000000502,Food Product 502,Snacks,"Rice, Spices, Vegetable Oil",331,24.93,5.88,23.54,3.85,milk
8901000000503,Food Product 503,Cereals,"Water, Fruit Concentrate, Sugar",181,2.3,28.43,12.71,1.1,none
8901000000504,Food Product 504,Dairy,"Water, Fruit Concentrate, Sugar",464,27.36,30.36,8.02,4.56,none
8901000000505,Food Product 505,Beverages,"Water, Fruit Concentrate, Sugar",126,17.52,35.35,8.95,2.02,gluten
8901000000506,Food Product 506,Beverages,"Oats, Honey, Almonds",300,15.97,0.7,14.19,0.51,nuts
8901000000507,Food Product 507,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",436,22.43,12.24,13.56,4.03,milk
8901000000508,Food Product 508,Cereals,"Milk, Cocoa, Sugar",399,18.25,18.16,14.45,1.05,milk
8901000000509,Food Product 509,Frozen Foods,"Milk, Cocoa, Sugar",453,27.78,34.81,7.43,2.0,milk
8901000000510,Food Product 510,Beverages,"Milk, Cocoa, Sugar",387,4.51,0.02,1.87,4.48,milk
8901000000511,Food Product 511,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",78,1.65,18.4,18.08,2.65,milk
8901000000512,Food Product 512,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",174,14.18,9.42,15.18,2.16,none
8901000000513,Food Product 513,Beverages,"Oats, Honey, Almonds",335,11.02,36.72,20.82,1.25,gluten
8901000000514,Food Product 514,Cereals,"Oats, Honey, Almonds",403,21.25,39.69,17.08,4.25,gluten
8901000000515,Food Product 515,Cereals,"Oats, Honey, Almonds",123,6.01,19.28,24.23,1.79,milk
8901000000516,Food Product 516,Beverages,"Water, Fruit Concentrate, Sugar",141,0.7,37.75,10.29,2.54,none
8901000000517,Food Product 517,Cereals,"Milk, Cocoa, Sugar",337,13.42,12.1,14.2,2.55,nuts
8901000000518,Food Product 518,Snacks,"Oats, Honey, Almonds",492,8.16,14.97,8.59,0.34,gluten
8901000000519,Food Product 519,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",308,6.72,14.34,22.42,1.87,gluten
8901000000520,Food Product 520,Snacks,"Rice, Spices, Vegetable Oil",535,10.72,27.95,23.98,0.32,none
8901000000521,Food Product 521,Beverages,"Oats, Honey, Almonds",331,4.87,23.56,4.38,4.32,nuts
8901000000522,Food Product 522,Frozen Foods,"Rice, Spices, Vegetable Oil",156,4.99,35.05,14.06,0.51,none
8901000000523,Food Product 523,Cereals,"Oats, Honey, Almonds",407,7.39,16.36,0.41,3.51,gluten
8901000000524,Food Product 524,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",444,21.68,28.21,13.98,4.46,milk
8901000000525,Food Product 525,Frozen Foods,"Rice, Spices, Vegetable Oil",407,22.12,1.81,10.47,0.82,none
8901000000526,Food Product 526,Dairy,"Oats, Honey, Almonds",287,4.46,21.17,8.87,4.44,nuts
8901000000527,Food Product 527,Snacks,"Rice, Spices, Vegetable Oil",238,11.05,17.29,2.1,4.81,milk
8901000000528,Food Product 528,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",251,3.67,9.55,2.33,3.12,nuts
8901000000529,Food Product 529,Dairy,"Water, Fruit Concentrate, Sugar",358,22.13,18.44,7.98,3.06,nuts
8901000000530,Food Product 530,Cereals,"Rice, Spices, Vegetable Oil",526,25.68,38.04,13.56,1.34,none
8901000000531,Food Product 531,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",150,10.62,8.55,6.47,1.14,milk
8901000000532,Food Product 532,Snacks,"Oats, Honey, Almonds",447,25.6,16.02,22.3,1.97,milk
8901000000533,Food Product 533,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",334,23.13,0.19,11.62,1.65,none
8901000000534,Food Product 534,Dairy,"Milk, Cocoa, Sugar",507,4.61,3.27,1.04,0.05,gluten
8901000000535,Food Product 535,Beverages,"Water, Fruit Concentrate, Sugar",304,25.74,31.97,14.14,4.95,none
8901000000536,Food Product 536,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",300,29.19,23.62,5.34,3.77,none
8901000000537,Food Product 537,Snacks,"Rice, Spices, Vegetable Oil",306,28.01,25.16,15.67,0.31,gluten
8901000000538,Food Product 538,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",305,18.5,29.25,15.31,3.52,milk
8901000000539,Food Product 539,Frozen Foods,"Milk, Cocoa, Sugar",70,6.64,33.91,10.99,0.11,none
8901000000540,Food Product 540,Beverages,"Oats, Honey, Almonds",257,29.05,1.59,9.95,0.3,gluten
8901000000541,Food Product 541,Cereals,"Rice, Spices, Vegetable Oil",102,24.87,13.51,1.92,3.57,none
8901000000542,Food Product 542,Dairy,"Water, Fruit Concentrate, Sugar",132,3.38,2.07,9.32,1.35,none
8901000000543,Food Product 543,Cereals,"Milk, Cocoa, Sugar",221,8.72,28.84,6.22,2.26,gluten
8901000000544,Food Product 544,Dairy,"Milk, Cocoa, Sugar",384,12.37,2.71,9.93,0.63,nuts
8901000000545,Food Product 545,Snacks,"Rice, Spices, Vegetable Oil",235,23.84,14.07,4.92,2.74,nuts
8901000000546,Food Product 546,Cereals,"Milk, Cocoa, Sugar",181,5.65,14.5,19.37,0.79,milk
8901000000547,Food Product 547,Dairy,"Oats, Honey, Almonds",147,15.37,36.65,4.48,1.82,nuts
8901000000548,Food Product 548,Snacks,"Milk, Cocoa, Sugar",343,15.89,25.9,17.25,4.15,nuts
8901000000549,Food Product 549,Frozen Foods,"Rice, Spices, Vegetable Oil",306,26.0,34.45,24.66,4.94,none
8901000000550,Food Product 550,Frozen Foods,"Rice, Spices, Vegetable Oil",175,22.73,1.78,10.07,2.74,milk
8901000000551,Food Product 551,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",477,8.13,28.2,1.38,3.25,gluten
8901000000552,Food Product 552,Frozen Foods,"Water, Fruit Concentrate, Sugar",311,17.61,26.75,18.94,1.07,gluten
8901000000553,Food Product 553,Cereals,"Rice, Spices, Vegetable Oil",236,17.54,20.92,23.91,1.34,nuts
8901000000554,Food Product 554,Beverages,"Water, Fruit Concentrate, Sugar",255,6.34,5.96,0.72,3.08,gluten
8901000000555,Food Product 555,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",72,3.8,16.04,16.72,4.11,none
8901000000556,Food Product 556,Dairy,"Rice, Spices, Vegetable Oil",514,29.82,14.23,11.33,1.32,milk
8901000000557,Food Product 557,Dairy,"Water, Fruit Concentrate, Sugar",160,6.97,24.82,14.45,1.75,milk
8901000000558,Food Product 558,Frozen Foods,"Oats, Honey, Almonds",300,7.69,21.2,23.88,4.08,milk
8901000000559,Food Product 559,Cereals,"Milk, Cocoa, Sugar",213,10.56,0.84,16.36,2.16,none
8901000000560,Food Product 560,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",74,23.48,4.98,17.59,0.54,nuts
8901000000561,Food Product 561,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",155,1.17,17.89,17.5,3.53,gluten
8901000000562,Food Product 562,Snacks,"Water, Fruit Concentrate, Sugar",343,23.09,36.78,12.91,2.37,gluten
8901000000563,Food Product 563,Beverages,"Milk, Cocoa, Sugar",249,29.57,4.13,24.96,0.29,nuts
8901000000564,Food Product 564,Frozen Foods,"Rice, Spices, Vegetable Oil",380,0.81,13.57,5.75,2.12,nuts
8901000000565,Food Product 565,Frozen Foods,"Milk, Cocoa, Sugar",431,20.91,15.95,11.83,4.78,none
8901000000566,Food Product 566,Cereals,"Water, Fruit Concentrate, Sugar",532,29.3,30.55,8.61,2.7,nuts
8901000000567,Food Product 567,Dairy,"Oats, Honey, Almonds",213,13.39,15.95,20.74,1.3,nuts
8901000000568,Food Product 568,Dairy,"Oats, Honey, Almonds",255,4.59,33.19,22.79,4.15,milk
8901000000569,Food Product 569,Dairy,"Rice, Spices, Vegetable Oil",547,7.58,20.74,16.27,4.85,nuts
8901000000570,Food Product 570,Cereals,"Milk, Cocoa, Sugar",248,6.89,4.45,0.73,3.45,gluten
8901000000571,Food Product 571,Snacks,"Rice, Spices, Vegetable Oil",251,20.39,0.12,20.8,2.93,milk
8901000000572,Food Product 572,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",128,6.38,19.89,15.61,1.12,nuts
8901000000573,Food Product 573,Beverages,"Rice, Spices, Vegetable Oil",542,18.47,34.57,13.12,3.13,nuts
8901000000574,Food Product 574,Cereals,"Milk, Cocoa, Sugar",82,16.45,29.42,24.67,4.62,nuts
8901000000575,Food Product 575,Dairy,"Milk, Cocoa, Sugar",315,25.1,7.2,24.93,4.86,nuts
8901000000576,Food Product 576,Frozen Foods,"Milk, Cocoa, Sugar",370,22.65,28.7,24.94,1.16,gluten
8901000000577,Food Product 577,Dairy,"Water, Fruit Concentrate, Sugar",126,27.24,25.31,14.47,0.03,nuts
8901000000578,Food Product 578,Frozen Foods,"Rice, Spices, Vegetable Oil",323,2.18,32.1,2.42,1.5,gluten
8901000000579,Food Product 579,Cereals,"Oats, Honey, Almonds",405,23.47,35.48,20.66,3.67,nuts
8901000000580,Food Product 580,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",296,3.53,0.21,14.44,0.57,none
8901000000581,Food Product 581,Beverages,"Rice, Spices, Vegetable Oil",164,26.37,37.76,8.04,2.15,milk
8901000000582,Food Product 582,Dairy,"Rice, Spices, Vegetable Oil",435,6.07,20.06,19.17,4.39,nuts
8901000000583,Food Product 583,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",477,24.22,36.5,19.28,1.26,gluten
8901000000584,Food Product 584,Snacks,"Milk, Cocoa, Sugar",417,26.69,14.39,21.88,4.32,gluten
8901000000585,Food Product 585,Dairy,"Milk, Cocoa, Sugar",393,10.85,27.63,16.01,0.95,none
8901000000586,Food Product 586,Beverages,"Oats, Honey, Almonds",357,2.48,32.34,5.19,4.55,milk
8901000000587,Food Product 587,Dairy,"Rice, Spices, Vegetable Oil",223,15.29,13.09,15.85,2.25,milk
8901000000588,Food Product 588,Beverages,"Rice, Spices, Vegetable Oil",302,1.41,12.01,14.48,0.64,milk
8901000000589,Food Product 589,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",219,6.03,0.19,17.23,1.89,milk
8901000000590,Food Product 590,Frozen Foods,"Water, Fruit Concentrate, Sugar",209,19.11,28.31,5.83,2.68,gluten
8901000000591,Food Product 591,Snacks,"Water, Fruit Concentrate, Sugar",170,24.54,29.83,1.07,1.33,gluten
8901000000592,Food Product 592,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",442,21.81,24.71,23.96,4.57,none
8901000000593,Food Product 593,Beverages,"Water, Fruit Concentrate, Sugar",339,26.19,22.25,17.27,4.62,milk
8901000000594,Food Product 594,Frozen Foods,"Water, Fruit Concentrate, Sugar",548,10.88,9.96,2.68,4.54,none
8901000000595,Food Product 595,Beverages,"Water, Fruit Concentrate, Sugar",104,24.24,8.97,14.81,2.07,nuts
8901000000596,Food Product 596,Frozen Foods,"Rice, Spices, Vegetable Oil",186,6.72,23.55,0.38,3.8,nuts
8901000000597,Food Product 597,Beverages,"Water, Fruit Concentrate, Sugar",449,12.95,3.62,10.63,4.09,none
8901000000598,Food Product 598,Frozen Foods,"Milk, Cocoa, Sugar",491,21.02,37.39,7.38,0.83,gluten
8901000000599,Food Product 599,Snacks,"Milk, Cocoa, Sugar",384,7.69,25.87,12.81,4.16,milk
8901000000600,Food Product 600,Frozen Foods,"Water, Fruit Concentrate, Sugar",484,8.76,19.05,12.69,2.41,milk
8901000000601,Food Product 601,Snacks,"Water, Fruit Concentrate, Sugar",234,18.74,18.48,6.21,3.6,nuts
8901000000602,Food Product 602,Dairy,"Water, Fruit Concentrate, Sugar",330,9.54,7.87,3.06,2.59,none
8901000000603,Food Product 603,Snacks,"Water, Fruit Concentrate, Sugar",501,0.33,27.76,1.32,4.15,nuts
8901000000604,Food Product 604,Beverages,"Rice, Spices, Vegetable Oil",156,5.65,15.01,5.45,2.55,milk
8901000000605,Food Product 605,Beverages,"Rice, Spices, Vegetable Oil",501,14.54,3.6,19.65,1.7,nuts
8901000000606,Food Product 606,Beverages,"Water, Fruit Concentrate, Sugar",201,16.04,31.33,16.21,1.1,nuts
8901000000607,Food Product 607,Dairy,"Milk, Cocoa, Sugar",506,28.3,39.92,6.53,2.54,milk
8901000000608,Food Product 608,Frozen Foods,"Rice, Spices, Vegetable Oil",498,9.01,35.04,22.19,0.01,milk
8901000000609,Food Product 609,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",102,23.99,26.61,1.82,0.35,gluten
8901000000610,Food Product 610,Frozen Foods,"Water, Fruit Concentrate, Sugar",407,10.91,35.67,6.85,4.15,none
8901000000611,Food Product 611,Frozen Foods,"Rice, Spices, Vegetable Oil",97,12.72,10.89,18.59,4.04,none
8901000000612,Food Product 612,Snacks,"Water, Fruit Concentrate, Sugar",227,14.85,25.04,18.52,1.61,milk
8901000000613,Food Product 613,Beverages,"Milk, Cocoa, Sugar",262,13.51,27.46,19.29,1.33,nuts
8901000000614,Food Product 614,Frozen Foods,"Rice, Spices, Vegetable Oil",478,26.82,8.09,12.43,4.39,gluten
8901000000615,Food Product 615,Beverages,"Water, Fruit Concentrate, Sugar",185,22.33,38.83,11.23,3.8,gluten
8901000000616,Food Product 616,Snacks,"Water, Fruit Concentrate, Sugar",100,20.97,16.14,8.92,3.52,none
8901000000617,Food Product 617,Beverages,"Water, Fruit Concentrate, Sugar",403,0.75,7.04,15.73,2.94,none
8901000000618,Food Product 618,Snacks,"Water, Fruit Concentrate, Sugar",177,11.25,13.42,13.71,3.7,gluten
8901000000619,Food Product 619,Snacks,"Water, Fruit Concentrate, Sugar",474,3.22,17.26,4.91,0.15,nuts
8901000000620,Food Product 620,Cereals,"Oats, Honey, Almonds",399,5.79,29.4,23.56,4.63,gluten
8901000000621,Food Product 621,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",546,16.61,1.34,23.54,4.31,milk
8901000000622,Food Product 622,Frozen Foods,"Rice, Spices, Vegetable Oil",206,16.39,15.42,9.55,0.46,gluten
8901000000623,Food Product 623,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",212,29.18,18.38,11.61,3.85,nuts
8901000000624,Food Product 624,Frozen Foods,"Rice, Spices, Vegetable Oil",84,0.96,21.95,12.67,3.52,milk
8901000000625,Food Product 625,Frozen Foods,"Oats, Honey, Almonds",496,26.0,11.66,2.51,2.82,gluten
8901000000626,Food Product 626,Frozen Foods,"Milk, Cocoa, Sugar",488,9.47,14.48,1.58,2.33,none
8901000000627,Food Product 627,Cereals,"Rice, Spices, Vegetable Oil",442,28.53,15.7,9.23,4.55,milk
8901000000628,Food Product 628,Dairy,"Rice, Spices, Vegetable Oil",412,4.89,9.0,20.96,2.64,gluten
8901000000629,Food Product 629,Dairy,"Milk, Cocoa, Sugar",407,3.78,2.16,0.86,0.44,none
8901000000630,Food Product 630,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",156,21.85,33.64,23.44,3.65,none
8901000000631,Food Product 631,Frozen Foods,"Milk, Cocoa, Sugar",218,18.83,25.57,19.07,2.85,nuts
8901000000632,Food Product 632,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",161,12.4,26.5,13.99,4.04,none
8901000000633,Food Product 633,Beverages,"Rice, Spices, Vegetable Oil",486,10.74,12.59,11.1,4.05,gluten
8901000000634,Food Product 634,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",430,20.36,6.89,0.27,3.41,nuts
8901000000635,Food Product 635,Frozen Foods,"Rice, Spices, Vegetable Oil",327,13.44,5.22,4.03,3.92,nuts
8901000000636,Food Product 636,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",230,7.13,21.64,7.52,3.01,gluten
8901000000637,Food Product 637,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",171,6.74,7.67,10.77,0.56,none
8901000000638,Food Product 638,Snacks,"Water, Fruit Concentrate, Sugar",470,19.26,4.22,21.98,0.09,none
8901000000639,Food Product 639,Cereals,"Rice, Spices, Vegetable Oil",445,12.06,26.16,15.85,2.33,milk
8901000000640,Food Product 640,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",217,8.07,7.87,5.75,4.98,milk
8901000000641,Food Product 641,Snacks,"Oats, Honey, Almonds",428,4.55,21.1,8.15,0.54,nuts
8901000000642,Food Product 642,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",78,22.33,6.25,16.07,2.93,none
8901000000643,Food Product 643,Snacks,"Water, Fruit Concentrate, Sugar",212,16.65,19.95,6.91,1.18,nuts
8901000000644,Food Product 644,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",303,5.58,22.08,4.78,3.5,milk
8901000000645,Food Product 645,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",93,22.41,31.08,4.9,1.71,gluten
8901000000646,Food Product 646,Snacks,"Water, Fruit Concentrate, Sugar",294,14.67,26.67,8.96,0.6,gluten
8901000000647,Food Product 647,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",455,14.06,11.61,9.15,4.65,gluten
8901000000648,Food Product 648,Beverages,"Oats, Honey, Almonds",226,8.46,20.59,11.16,3.57,milk
8901000000649,Food Product 649,Snacks,"Milk, Cocoa, Sugar",437,21.71,6.48,12.1,2.63,gluten
8901000000650,Food Product 650,Frozen Foods,"Water, Fruit Concentrate, Sugar",123,1.53,1.91,19.31,4.55,none
8901000000651,Food Product 651,Frozen Foods,"Rice, Spices, Vegetable Oil",388,13.39,27.93,14.91,1.1,none
8901000000652,Food Product 652,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",507,15.56,10.99,0.92,0.83,nuts
8901000000653,Food Product 653,Snacks,"Milk, Cocoa, Sugar",131,9.67,26.8,8.95,4.39,nuts
8901000000654,Food Product 654,Frozen Foods,"Oats, Honey, Almonds",215,9.87,24.02,19.34,0.35,milk
8901000000655,Food Product 655,Dairy,"Rice, Spices, Vegetable Oil",96,1.62,10.66,19.93,1.0,nuts
8901000000656,Food Product 656,Dairy,"Milk, Cocoa, Sugar",231,8.84,26.3,4.17,2.07,nuts
8901000000657,Food Product 657,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",407,29.56,0.8,14.23,2.25,nuts
8901000000658,Food Product 658,Beverages,"Rice, Spices, Vegetable Oil",199,14.61,18.41,19.96,2.69,nuts
8901000000659,Food Product 659,Frozen Foods,"Milk, Cocoa, Sugar",527,25.79,37.42,19.27,3.54,nuts
8901000000660,Food Product 660,Beverages,"Milk, Cocoa, Sugar",236,28.19,9.21,5.59,2.67,gluten
8901000000661,Food Product 661,Beverages,"Milk, Cocoa, Sugar",469,3.91,17.69,16.57,4.87,none
8901000000662,Food Product 662,Cereals,"Oats, Honey, Almonds",523,25.86,20.01,4.47,2.89,milk
8901000000663,Food Product 663,Cereals,"Rice, Spices, Vegetable Oil",245,7.66,32.97,13.27,1.69,none
8901000000664,Food Product 664,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",171,24.11,12.6,12.11,4.39,nuts
8901000000665,Food Product 665,Cereals,"Oats, Honey, Almonds",512,16.01,2.44,14.12,2.45,milk
8901000000666,Food Product 666,Snacks,"Rice, Spices, Vegetable Oil",434,15.88,25.07,16.27,1.71,none
8901000000667,Food Product 667,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",80,28.77,36.08,1.77,4.41,nuts
8901000000668,Food Product 668,Beverages,"Rice, Spices, Vegetable Oil",491,4.48,27.47,16.77,4.63,nuts
8901000000669,Food Product 669,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",515,20.11,38.67,18.75,0.9,milk
8901000000670,Food Product 670,Cereals,"Water, Fruit Concentrate, Sugar",90,11.41,4.74,11.24,4.78,milk
8901000000671,Food Product 671,Frozen Foods,"Rice, Spices, Vegetable Oil",533,2.35,16.02,18.15,4.24,nuts
8901000000672,Food Product 672,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",89,29.76,19.67,24.13,4.9,milk
8901000000673,Food Product 673,Cereals,"Water, Fruit Concentrate, Sugar",79,17.53,36.23,7.79,0.28,gluten
8901000000674,Food Product 674,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",85,7.23,33.5,2.29,0.35,gluten
8901000000675,Food Product 675,Cereals,"Water, Fruit Concentrate, Sugar",113,25.38,6.65,16.92,2.94,gluten
8901000000676,Food Product 676,Dairy,"Rice, Spices, Vegetable Oil",232,22.47,22.94,13.22,0.26,nuts
8901000000677,Food Product 677,Snacks,"Rice, Spices, Vegetable Oil",51,23.65,5.81,2.36,3.17,gluten
8901000000678,Food Product 678,Cereals,"Water, Fruit Concentrate, Sugar",136,26.71,18.07,9.47,1.47,gluten
8901000000679,Food Product 679,Snacks,"Water, Fruit Concentrate, Sugar",412,19.87,30.45,7.97,4.79,milk
8901000000680,Food Product 680,Cereals,"Rice, Spices, Vegetable Oil",418,2.35,17.73,10.16,0.23,none
8901000000681,Food Product 681,Beverages,"Milk, Cocoa, Sugar",388,22.79,5.97,3.82,3.91,milk
8901000000682,Food Product 682,Cereals,"Rice, Spices, Vegetable Oil",60,1.63,13.66,5.91,3.44,nuts
8901000000683,Food Product 683,Cereals,"Water, Fruit Concentrate, Sugar",542,4.13,37.64,1.66,1.43,nuts
8901000000684,Food Product 684,Beverages,"Water, Fruit Concentrate, Sugar",284,12.58,11.15,15.51,2.46,none
8901000000685,Food Product 685,Dairy,"Rice, Spices, Vegetable Oil",272,10.75,16.54,15.52,4.05,gluten
8901000000686,Food Product 686,Dairy,"Oats, Honey, Almonds",99,22.12,27.73,9.73,3.29,milk
8901000000687,Food Product 687,Beverages,"Rice, Spices, Vegetable Oil",64,11.88,19.38,3.15,3.58,none
8901000000688,Food Product 688,Dairy,"Milk, Cocoa, Sugar",320,14.82,18.41,16.57,4.34,gluten
8901000000689,Food Product 689,Cereals,"Milk, Cocoa, Sugar",430,11.53,26.01,17.2,4.31,gluten
8901000000690,Food Product 690,Beverages,"Oats, Honey, Almonds",381,8.6,5.58,0.21,4.5,milk
8901000000691,Food Product 691,Frozen Foods,"Oats, Honey, Almonds",446,6.91,0.87,22.6,1.3,gluten
8901000000692,Food Product 692,Frozen Foods,"Water, Fruit Concentrate, Sugar",351,21.78,28.45,20.89,0.6,milk
8901000000693,Food Product 693,Beverages,"Oats, Honey, Almonds",300,0.52,34.13,15.11,3.18,nuts
8901000000694,Food Product 694,Cereals,"Rice, Spices, Vegetable Oil",55,28.93,9.25,22.88,0.08,none
8901000000695,Food Product 695,Beverages,"Oats, Honey, Almonds",526,23.68,5.95,9.41,4.2,nuts
8901000000696,Food Product 696,Beverages,"Rice, Spices, Vegetable Oil",205,29.54,21.44,21.32,2.72,gluten
8901000000697,Food Product 697,Snacks,"Rice, Spices, Vegetable Oil",221,18.4,3.36,7.97,0.71,nuts
8901000000698,Food Product 698,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",516,22.7,27.1,3.75,4.92,gluten
8901000000699,Food Product 699,Dairy,"Rice, Spices, Vegetable Oil",310,21.73,11.59,21.38,2.38,none
8901000000700,Food Product 700,Frozen Foods,"Milk, Cocoa, Sugar",184,24.19,20.57,11.76,1.58,gluten
8901000000701,Food Product 701,Dairy,"Oats, Honey, Almonds",69,19.76,21.91,4.07,3.63,nuts
8901000000702,Food Product 702,Snacks,"Water, Fruit Concentrate, Sugar",548,29.93,12.99,20.61,3.92,milk
8901000000703,Food Product 703,Snacks,"Rice, Spices, Vegetable Oil",545,28.58,27.1,16.53,2.69,gluten
8901000000704,Food Product 704,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",114,13.05,6.17,0.32,4.51,nuts
8901000000705,Food Product 705,Dairy,"Water, Fruit Concentrate, Sugar",545,5.7,9.42,20.48,4.19,milk
8901000000706,Food Product 706,Frozen Foods,"Milk, Cocoa, Sugar",408,27.44,17.84,0.09,1.17,gluten
8901000000707,Food Product 707,Cereals,"Rice, Spices, Vegetable Oil",182,14.82,1.85,13.53,4.35,milk
8901000000708,Food Product 708,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",435,29.64,7.3,17.44,3.42,milk
